net,time
0.000984407,220
0.000989287,221
0.000994594,222
0.000999705,223
0.001003989,224
0.001009748,225
0.00101447,226
0.001019414,227
0.001023419,228
0.00102817,229
0.001032509,230
0.001037069,231
0.001042595,232
0.0010476,233
0.001052186,234
0.001056888,235
0.001060634,236
0.001065137,237
0.001069327,238
0.0010732,239
0.001076972,240
0.00108021,241
0.001085614,242
0.00109092,243
0.001094391,244
0.001098737,245
0.001102765,246
0.00110691,247
0.00111139,248
0.001116204,249
0.001119272,250
0.001123881,251
0.00112883,252
0.001133237,253
0.001137321,254
0.001142297,255
0.001147391,256
0.001151829,257
0.001156719,258
0.00116251,259
0.001166304,260
0.001172118,261
0.001176599,262
0.001180189,263
0.001184458,264
0.001188621,265
0.001193355,266
0.001197873,267
0.001201945,268
0.001206817,269
0.001212265,270
0.001216016,271
0.001220457,272
0.001224106,273
0.001229474,274
0.001232562,275
0.001236457,276
0.001240702,277
0.00124438,278
0.001249676,279
0.001254636,280
0.001259257,281
0.001263424,282
0.001268062,283
0.001272824,284
0.001277246,285
0.001282492,286
0.001286227,287
0.001291137,288
0.001295705,289
0.00130122,290
0.001305334,291
0.001309573,292
0.00131429,293
0.001318307,294
0.001322804,295
0.001327308,296
0.001331701,297
0.001335982,298
0.00134027,299
0.001343728,300
0.001348387,301
0.001352217,302
0.001356052,303
0.001360013,304
0.001364702,305
0.001367953,306
0.001373018,307
0.001377124,308
0.001382083,309
0.001385959,310
0.00139142,311
0.001396283,312
0.001401888,313
0.001406405,314
0.001411054,315
0.00141608,316
0.001419395,317
0.001423205,318
0.001428253,319
0.001431829,320
0.001436275,321
0.001440481,322
0.001446429,323
0.00145065,324
0.001453137,325
0.001457369,326
0.001462357,327
0.001466104,328
0.001469732,329
0.001473364,330
0.001476875,331
0.001481272,332
0.001484797,333
0.001489208,334
0.001492994,335
0.001496785,336
0.001501341,337
0.001505017,338
0.001508951,339
0.001513146,340
0.001517603,341
0.001522578,342
0.001525645,343
0.001528971,344
0.00153371,345
0.001539356,346
0.001543468,347
0.00154823,348
0.001553129,349
0.001556228,350
0.001560753,351
0.001565933,352
0.001569824,353
0.0015732,354
0.00157606,355
0.001580877,356
0.001585572,357
0.001589362,358
0.001593158,359
0.001597091,360
0.001600374,361
0.00160524,362
0.001609721,363
0.001613549,364
0.001618441,365
0.001622148,366
0.001626527,367
0.001631184,368
0.001634115,369
0.001637717,370
0.001641325,371
0.001645075,372
0.0016491,373
0.001653536,374
0.001657173,375
0.001659869,376
0.001664189,377
0.001668247,378
0.00167272,379
0.001676795,380
0.001681834,381
0.001686338,382
0.001691668,383
0.001696324,384
0.001700165,385
0.001704427,386
0.001707596,387
0.001710908,388
0.001714641,389
0.001719903,390
0.001723649,391
0.001727817,392
0.001731993,393
0.001735759,394
0.001738973,395
0.001743594,396
0.001746819,397
0.00175019,398
0.001754832,399
0.00175906,400
0.001762166,401
0.001767545,402
0.001772796,403
0.001777487,404
0.001781473,405
0.001784183,406
0.001789043,407
0.001793484,408
0.001798078,409
0.00180225,410
0.001806573,411
0.001811049,412
0.001814376,413
0.001818722,414
0.001820609,415
0.001825114,416
0.001829337,417
0.001832983,418
0.001836489,419
0.001841465,420
0.001846451,421
0.001849243,422
0.001852924,423
0.001856905,424
0.001860744,425
0.001865031,426
0.001868291,427
0.001872448,428
0.001876168,429
0.001880791,430
