hazard,time
6.04346E-07,1
1.58675E-06,2
3.02333E-06,3
4.08232E-06,4
6.35308E-06,5
8.70164E-06,6
1.17352E-05,7
1.59884E-05,8
1.9259E-05,9
2.36002E-05,10
2.66504E-05,11
3.05448E-05,12
3.54407E-05,13
3.8812E-05,14
4.41857E-05,15
4.95723E-05,16
5.43532E-05,17
5.99954E-05,18
6.59613E-05,19
7.26409E-05,20
7.90259E-05,21
8.62867E-05,22
9.1061E-05,23
9.67081E-05,24
0.000102762,25
0.0001097,26
0.000115629,27
0.00012197,28
0.000129043,29
0.000134462,30
0.000141175,31
0.000146943,32
0.000154656,33
0.000161424,34
0.000167646,35
0.000173236,36
0.000180138,37
0.000186487,38
0.000193425,39
0.000201368,40
0.000209501,41
0.000216338,42
0.000222699,43
0.000228992,44
0.000236134,45
0.000242546,46
0.000249393,47
0.000257348,48
0.000264824,49
0.000271818,50
0.000278579,51
0.000285698,52
0.000292835,53
0.000299823,54
0.000307258,55
0.000314714,56
0.000322022,57
0.000328143,58
0.000335573,59
0.000341634,60
0.000347796,61
0.000353623,62
0.000360074,63
0.000366628,64
0.000372496,65
0.000379167,66
0.000384533,67
0.000389468,68
0.000396888,69
0.000402999,70
0.000409036,71
0.000415177,72
0.000422316,73
0.000430102,74
0.000438274,75
0.000445662,76
0.000452258,77
0.000458506,78
0.000464951,79
0.000471504,80
0.000477893,81
0.000483017,82
0.00048916,83
0.00049587,84
0.000502044,85
0.000507956,86
0.000513233,87
0.000519542,88
0.00052577,89
0.000532853,90
0.000537709,91
0.000545945,92
0.000553266,93
0.000558722,94
0.000565604,95
0.000571937,96
0.000578757,97
0.000583503,98
0.000589682,99
0.000595684,100
0.000600744,101
0.000607443,102
0.000611758,103
0.0006181,104
0.000623784,105
0.000629191,106
0.000635191,107
0.000640039,108
0.000647619,109
0.000653562,110
0.000658445,111
0.000664315,112
0.000670785,113
0.000675498,114
0.000681696,115
0.000687315,116
0.000692848,117
0.000698392,118
0.000704742,119
0.000709911,120
0.000716387,121
0.00072108,122
0.000726982,123
0.000731791,124
0.000738115,125
0.000744452,126
0.000750297,127
0.000755648,128
0.000760805,129
0.000767695,130
0.000773483,131
0.000780197,132
0.000785192,133
0.000791832,134
0.000797461,135
0.000802896,136
0.000809882,137
0.000816576,138
0.000822561,139
0.000829592,140
0.000834151,141
0.000840794,142
0.000846413,143
0.000851938,144
0.000856639,145
0.000861975,146
0.000866901,147
0.000872989,148
0.000879614,149
0.00088541,150
0.000891429,151
0.000896615,152
0.000903614,153
0.000908182,154
0.000914565,155
0.000919575,156
0.000925984,157
0.000932195,158
0.000935951,159
0.000942506,160
0.00094832,161
0.000954686,162
0.000960525,163
0.000966377,164
0.00097311,165
0.000979856,166
0.000987488,167
0.000993935,168
0.000998753,169
0.001005333,170
0.001010607,171
0.00101567,172
0.001019968,173
0.001025266,174
0.00103135,175
0.001035782,176
0.001041329,177
0.001048331,178
0.001053565,179
0.001058472,180
0.001063498,181
0.001067972,182
0.001073799,183
0.001079076,184
0.001083912,185
0.001090561,186
0.001096093,187
0.001100956,188
0.001108094,189
0.001114907,190
0.001119912,191
0.00112618,192
0.001132233,193
0.001137496,194
0.001142883,195
0.00114736,196
0.001154146,197
0.001161526,198
0.001166379,199
0.001170893,200
0.001175876,201
0.001181795,202
0.001186677,203
0.001191914,204
0.001197393,205
0.001204167,206
0.001209665,207
0.001215056,208
0.001221044,209
0.001226573,210
0.001231758,211
0.001236833,212
0.001242508,213
0.001247718,214
0.001253055,215
0.001257211,216
0.001263396,217
0.001268757,218
0.001273172,219
0.001279148,220
0.001285137,221
0.001292578,222
0.001298712,223
0.001304013,224
0.001310893,225
0.001316698,226
0.00132288,227
0.001328588,228
0.001335035,229
0.001340888,230
0.001346996,231
0.001353605,232
0.001359614,233
0.001366123,234
0.001372274,235
0.001377326,236
0.00138288,237
0.001388072,238
0.001392777,239
0.001397861,240
0.001401957,241
0.001408795,242
0.001415022,243
0.001419761,244
0.001425507,245
0.001430639,246
0.001435905,247
0.001441932,248
0.001448219,249
0.001452751,250
0.001458803,251
0.001464865,252
0.001470433,253
0.00147563,254
0.001481978,255
0.001488208,256
0.00149432,257
0.001500571,258
0.001508495,259
0.001513232,260
0.001520158,261
0.001526197,262
0.001531086,263
0.001536497,264
0.001542173,265
0.001548117,266
0.001553424,267
0.001558609,268
0.001565101,269
0.001571992,270
0.001576811,271
0.00158268,272
0.00158725,273
0.001594051,274
0.001598242,275
0.001603618,276
0.001608871,277
0.001613869,278
0.001621114,279
0.00162758,280
0.001633924,281
0.001638954,282
0.001644523,283
0.001650499,284
0.001656486,285
0.001662882,286
0.001667952,287
0.001674098,288
0.001679986,289
0.001686689,290
0.001692462,291
0.001697571,292
0.001703496,293
0.001708756,294
0.001714565,295
0.001720112,296
0.001726072,297
0.001731364,298
0.001736255,299
0.001741153,300
0.001747285,301
0.001753154,302
0.00175821,303
0.001763136,304
0.001769442,305
0.001773971,306
0.001780981,307
0.001785798,308
0.00179186,309
0.001797104,310
0.001804015,311
0.001809969,312
0.001816766,313
0.001822881,314
0.001828729,315
0.001835424,316
0.001840034,317
0.001844929,318
0.001851092,319
0.001856001,320
0.001861338,321
0.001867808,322
0.001875698,323
0.00188106,324
0.001884734,325
0.001889969,326
0.001896202,327
0.001900885,328
0.001905432,329
0.001909842,330
0.001914542,331
0.001920106,332
0.001924392,333
0.001930257,334
0.001935271,335
0.001940147,336
0.001945604,337
0.001950349,338
0.001955244,339
0.001960435,340
0.001965922,341
0.001971709,342
0.00197562,343
0.001979825,344
0.001985778,345
0.001993048,346
0.001997999,347
0.002003831,348
0.002009964,349
0.002014059,350
0.002019916,351
0.00202666,352
0.002032091,353
0.002036353,354
0.002040766,355
0.002047248,356
0.002052854,357
0.002058026,358
0.002063059,359
0.002068988,360
0.002072996,361
0.00207909,362
0.002085345,363
0.002090863,364
0.002096985,365
0.002101471,366
0.002106864,367
0.002112572,368
0.002116331,369
0.002121149,370
0.002125825,371
0.002131115,372
0.002136564,373
0.002142328,374
0.002147037,375
0.002150383,376
0.002156168,377
0.002161812,378
0.002167772,379
0.002173591,380
0.002179732,381
0.00218604,382
0.002192972,383
0.002198836,384
0.002204401,385
0.002209203,386
0.002213549,387
0.002218368,388
0.002223663,389
0.002230681,390
0.002234898,391
0.002240373,392
0.002245387,393
0.002250255,394
0.002254973,395
0.002260645,396
0.002265063,397
0.002269329,398
0.002275184,399
0.002280572,400
0.002284541,401
0.002291701,402
0.002298242,403
0.002304472,404
0.002309911,405
0.002313596,406
0.002319859,407
0.002325811,408
0.002331131,409
0.002336624,410
0.002342448,411
0.00234812,412
0.002352827,413
0.00235868,414
0.002361286,415
0.002366993,416
0.002372547,417
0.002377291,418
0.002382042,419
0.002388934,420
0.002395018,421
0.002398972,422
0.002403757,423
0.002409046,424
0.002414506,425
0.002420304,426
0.002424454,427
0.002429942,428
0.002434442,429
0.002440621,430
0.002446981,431
0.002452178,432
0.002456207,433
0.002462598,434
0.002468159,435
0.002472378,436
0.002477111,437
0.002482873,438
0.002488811,439
0.00249595,440
0.002499867,441
0.002504642,442
0.002509083,443
0.002514903,444
0.002519877,445
0.002525716,446
0.002530016,447
0.002535183,448
0.002539495,449
0.00254727,450
0.002552636,451
0.002557319,452
0.002563397,453
0.002567744,454
0.00257297,455
0.0025789,456
0.00258362,457
0.002588175,458
0.002593791,459
0.002599413,460
0.002603283,461
0.002606984,462
0.002610336,463
0.002615284,464
0.002618647,465
0.002624674,466
0.002630886,467
0.002635864,468
0.002641384,469
0.002648342,470
0.002653883,471
0.002659435,472
0.002663383,473
0.002667155,474
0.002674708,475
0.002679209,476
0.002683174,477
0.002688952,478
0.002692751,479
0.002697641,480
0.002701629,481
0.002707076,482
0.002712897,483
0.002717634,484
0.002722561,485
0.002728228,486
0.002732624,487
0.002737391,488
0.002742164,489
0.002746024,490
0.0027521,491
0.002757635,492
0.002761888,493
0.002766518,494
0.002770782,495
0.002777279,496
0.002781927,497
0.002786393,498
0.002791425,499
0.002795343,500
0.002798893,501
0.002805064,502
0.002810119,503
0.00281537,504
0.002821377,505
0.002824951,506
0.00282985,507
0.002834757,508
0.002840426,509
0.002844589,510
0.002848947,511
0.002853122,512
0.002858636,513
0.002864541,514
0.002871031,515
0.002875236,516
0.002880402,517
0.002884425,518
0.002889988,519
0.002893444,520
0.002899022,521
0.002903646,522
0.002908082,523
0.002911943,524
0.00291813,525
0.002923745,526
0.002928787,527
0.002933643,528
0.00293909,529
0.002944739,530
0.00294825,531
0.002953329,532
0.002958415,533
0.002962332,534
0.002967629,535
0.002973525,536
0.002978443,537
0.002982971,538
0.002989081,539
0.002993621,540
0.002998761,541
0.00300391,542
0.003007679,543
0.003011847,544
0.003016616,545
0.003021789,546
0.003026174,547
0.003030564,548
0.003034161,549
0.003038161,550
0.003042964,551
0.003048973,552
0.003053385,553
0.0030568,554
0.003063239,555
0.003065656,556
0.003072924,557
0.003079192,558
0.003084862,559
0.003090544,560
0.003093999,561
0.003099699,562
0.003104184,563
0.003110517,564
0.003115835,565
0.003120955,566
0.003125056,567
0.003130192,568
0.003135749,569
0.003140489,570
0.003143792,571
0.003147097,572
0.003151025,573
0.003156201,574
0.00316242,575
0.003168029,576
0.003170734,577
0.003174066,578
0.003177818,579
0.003181991,580
0.00318617,581
0.003189098,582
0.003192867,583
0.003196431,584
0.00320126,585
0.003204832,586
0.003210511,587
0.003217046,588
0.003222961,589
0.003227192,590
0.003230158,591
0.00323525,592
0.003239921,593
0.003244596,594
0.003248854,595
0.003254396,596
0.003260587,597
0.003264649,598
0.003270433,599
0.003274936,600
0.003279445,601
0.003284609,602
0.003287844,603
0.003296057,604
0.003300388,605
0.003305374,606
0.003310148,607
0.003313624,608
0.003318845,609
0.003325164,610
0.003329091,611
0.003332149,612
0.003335648,613
0.003340901,614
0.00334572,615
0.003350326,616
0.003354717,617
0.003358896,618
0.003364623,619
0.003371686,620
0.003376327,621
0.0033823,622
0.003386066,623
0.003393388,624
0.003396945,625
0.003402736,626
0.003407422,627
0.003411664,628
0.003416807,629
0.003421507,630
0.003426214,631
0.00343003,632
0.003435875,633
0.003439254,634
0.003443761,635
0.003447596,636
0.003453924,637
0.003458224,638
0.00346321,639
0.003468659,640
0.003474346,641
0.003478444,642
0.00348232,643
0.003485973,644
0.003491004,645
0.003495587,646
0.003498341,647
0.003501328,648
0.003506388,649
0.003509381,650
0.003513532,651
0.003517691,652
0.003522551,653
0.003526723,654
0.003531831,655
0.003536247,656
0.003540901,657
0.003545096,658
0.003548831,659
0.003552102,660
0.003557253,661
0.003561709,662
0.00356758,663
0.003572754,664
0.003576522,665
0.00357888,666
0.003583367,667
0.003587626,668
0.003591892,669
0.003596399,670
0.003599248,671
0.003603763,672
0.003606381,673
0.003610671,674
0.003616161,675
0.003620943,676
0.003626686,677
0.003631479,678
0.003634838,679
0.003638201,680
0.003642051,681
0.003647111,682
0.003651456,683
0.003655323,684
0.003660644,685
0.003665001,686
0.003668153,687
0.003673251,688
0.003677871,689
0.003682012,690
0.003685425,691
0.003690062,692
0.003693483,693
0.003697399,694
0.003702054,695
0.003705242,696
0.003708676,697
0.003712604,698
0.003717517,699
0.003719977,700
0.003724901,701
0.003728846,702
0.003732796,703
0.003736751,704
0.003740957,705
0.003743432,706
0.003749627,707
0.003753597,708
0.00375782,709
0.003762795,710
0.003766284,711
0.00377152,712
0.003776013,713
0.003780262,714
0.003783263,715
0.003786519,716
0.003791282,717
0.003794546,718
0.003799822,719
0.003804348,720
0.003808376,721
0.003813921,722
0.003818464,723
0.00382377,724
0.003828072,725
0.003833646,726
0.003839225,727
0.003843797,728
0.003847865,729
0.003853724,730
0.003858824,731
0.003863423,732
0.003867769,733
0.003871608,734
0.003874172,735
0.003876482,736
0.003881108,737
0.003885482,738
0.003889605,739
0.003892958,740
0.003896313,741
0.003902,742
0.003905108,743
0.003909778,744
0.003916275,745
0.00391966,746
0.003924349,747
0.003927738,748
0.00393113,749
0.003935311,750
0.003940283,751
0.003943952,752
0.00394789,753
0.003951831,754
0.003954723,755
0.0039592,756
0.003964213,757
0.003969236,758
0.00397321,759
0.003977456,760
0.00398144,761
0.003983566,762
0.003986493,763
0.003991021,764
0.003995555,765
0.003999028,766
0.004002773,767
0.00400786,768
0.004011611,769
0.00401644,770
0.004020739,771
0.00402316,772
0.004027739,773
0.004031788,774
0.004037462,775
0.004043683,776
0.004049915,777
0.004052628,778
0.004057522,779
0.004060245,780
0.004064608,781
0.00406952,782
0.004073891,783
0.004077448,784
0.00407964,785
0.00408156,786
0.004084031,787
0.004088983,788
0.004092838,789
0.00409642,790
0.00410056,791
0.004104708,792
0.004107477,793
0.004109419,794
0.004113029,795
0.004119143,796
0.004122761,797
0.004126104,798
0.004129172,799
0.004134479,800
0.004137277,801
0.004140919,802
0.004145966,803
0.004149052,804
0.004152986,805
0.004156361,806
0.004159178,807
0.004161153,808
0.004165389,809
0.004168497,810
0.004171607,811
0.004176702,812
0.004180953,813
0.004183792,814
0.004186348,815
0.004190329,816
0.004193742,817
0.004198867,818
0.004204282,819
0.004206565,820
0.00420942,821
0.004213137,822
0.004218578,823
0.004223164,824
0.004227755,825
0.004232066,826
0.004234367,827
0.004236382,828
0.004238398,829
0.004242143,830
0.004246467,831
0.004249928,832
0.00425368,833
0.004256859,834
0.004259753,835
0.004262071,836
0.004266716,837
0.004270783,838
0.004274273,839
0.004277767,840
0.00428243,841
0.004285931,842
0.004291483,843
0.004294995,844
0.004299095,845
0.004303786,846
0.004307603,847
0.004313778,848
0.004317902,849
0.004323213,850
0.004328237,851
0.004332082,852
0.004337114,853
0.004340374,854
0.00434423,855
0.004349576,856
0.004352847,857
0.004358804,858
0.004363872,859
0.004367752,860
0.004370739,861
0.004374327,862
0.004378219,863
0.004381216,864
0.004386625,865
0.004389633,866
0.004392041,867
0.004396559,868
0.004401083,869
0.004403496,870
0.004408631,871
0.004413167,872
0.004419522,873
0.004422552,874
0.004425887,875
0.004429834,876
0.004434088,877
0.004436523,878
0.004438351,879
0.004442008,880
0.004446889,881
0.004449334,882
0.00445392,883
0.004457901,884
0.004461581,885
0.004466187,886
0.004471719,887
0.004476331,888
0.004478486,889
0.004481875,890
0.00448496,891
0.004487121,892
0.004491138,893
0.004496087,894
0.00450135,895
0.00450414,896
0.004506312,897
0.00451035,898
0.004515326,899
0.004518129,900
0.004521867,901
0.004527169,902
0.004530602,903
0.004534354,904
0.004538424,905
0.00454313,906
0.004546272,907
0.004550045,908
0.004554135,909
0.00455886,910
0.004562963,911
0.004566755,912
0.004568971,913
0.004571823,914
0.004577532,915
0.004581342,916
0.004586428,917
0.004591526,918
0.004595354,919
0.004602062,920
0.004605262,921
0.004608783,922
0.004612948,923
0.004615834,924
0.00461776,925
0.004620973,926
0.004623547,927
0.004627091,928
0.00463257,929
0.004635795,930
0.004640963,931
0.004645493,932
0.004648407,933
0.004653269,934
0.004656838,935
0.00466041,936
0.004663985,937
0.004667565,938
0.004671149,939
0.00467604,940
0.004678651,941
0.004682247,942
0.004685845,943
0.004688463,944
0.004692722,945
0.004696657,946
0.00470027,947
0.004702902,948
0.004708174,949
0.004710812,950
0.004713781,951
0.004718076,952
0.004721719,953
0.004726028,954
0.004729014,955
0.00473167,956
0.004734659,957
0.004739645,958
0.004743972,959
0.00474697,960
0.004752308,961
0.004755649,962
0.00476,963
0.004762679,964
0.00476603,965
0.004768042,966
0.004773415,967
0.004776777,968
0.00478048,969
0.004784523,970
0.004788905,971
0.004791266,972
0.004795317,973
0.004797682,974
0.004802079,975
0.004805804,976
0.004810551,977
0.004813264,978
0.004816319,979
0.004820395,980
0.004824136,981
0.004828223,982
0.004831976,983
0.004836078,984
0.004839157,985
0.004842583,986
0.004847041,987
0.004849101,988
0.004851506,989
0.004854603,990
0.004857705,991
0.004861499,992
0.004864606,993
0.004867024,994
0.004870483,995
0.004873947,996
0.004877762,997
0.004881583,998
0.004885407,999
0.004890973,1000
0.004893761,1001
0.004896902,1002
0.004899348,1003
0.004902847,1004
0.004905299,1005
0.004909855,1006
0.004913362,1007
0.004916523,1008
0.004917578,1009
0.004920394,1010
0.004922862,1011
0.004927098,1012
0.004928864,1013
0.004932045,1014
0.004935939,1015
0.0049409,1016
0.004943383,1017
0.004945871,1018
0.004946939,1019
0.004950854,1020
0.004954774,1021
0.004957271,1022
0.004961556,1023
0.00496549,1024
0.004966922,1025
0.004971225,1026
0.004973377,1027
0.004976966,1028
0.004981278,1029
0.004984155,1030
0.004987035,1031
0.004991001,1032
0.00499678,1033
0.005000033,1034
0.005002564,1035
0.005005098,1036
0.00500872,1037
0.005013796,1038
0.005018152,1039
0.005020695,1040
0.005022149,1041
0.005027605,1042
0.005030155,1043
0.005034532,1044
0.005037089,1045
0.005038916,1046
0.005041113,1047
0.005044041,1048
0.005047703,1049
0.005050633,1050
0.005054297,1051
0.005060167,1052
0.005064208,1053
0.005071196,1054
0.005075613,1055
0.005080034,1056
0.0050852,1057
0.005089634,1058
0.005093333,1059
0.005097408,1060
0.005101858,1061
0.005104455,1062
0.005106682,1063
0.005111885,1064
0.005115605,1065
0.005121192,1066
0.005124549,1067
0.005127536,1068
0.005131645,1069
0.00513314,1070
0.005135757,1071
0.005138751,1072
0.005143624,1073
0.005145876,1074
0.005148131,1075
0.00515189,1076
0.005154899,1077
0.005157159,1078
0.005160175,1079
0.005164704,1080
0.005169238,1081
0.005172646,1082
0.005176058,1083
0.005180612,1084
0.005184412,1085
0.005187837,1086
0.005189742,1087
0.005192029,1088
0.005195082,1089
0.005198136,1090
0.005201192,1091
0.005206164,1092
0.005209609,1093
0.005212675,1094
0.005215745,1095
0.005219588,1096
0.005222663,1097
0.005227281,1098
0.005230749,1099
0.005233064,1100
0.005235769,1101
0.005241186,1102
0.00524777,1103
0.00524932,1104
0.005252421,1105
0.005257468,1106
0.0052598,1107
0.005263692,1108
0.005267591,1109
0.005269543,1110
0.005271887,1111
0.005274623,1112
0.005276973,1113
0.005280896,1114
0.005285219,1115
0.005289157,1116
0.005294284,1117
0.00529902,1118
0.005301785,1119
0.005305742,1120
0.005308119,1121
0.005310102,1122
0.005316458,1123
0.005322027,1124
0.005325212,1125
0.005327602,1126
0.005329597,1127
0.005331595,1128
0.005333996,1129
0.005338004,1130
0.005341617,1131
0.005344026,1132
0.005348447,1133
0.005351666,1134
0.005355292,1135
0.005357309,1136
0.005360944,1137
0.005363371,1138
0.005366203,1139
0.005369441,1140
0.005371467,1141
0.005375117,1142
0.00537796,1143
0.005381215,1144
0.005385696,1145
0.005387327,1146
0.00539059,1147
0.00539304,1148
0.005395494,1149
0.00539918,1150
0.005401229,1151
0.00540369,1152
0.005404922,1153
0.005407796,1154
0.005412729,1155
0.005416021,1156
0.005418495,1157
0.005420559,1158
0.005425107,1159
0.005427588,1160
0.005432971,1161
0.005436288,1162
0.005439607,1163
0.005442514,1164
0.005445842,1165
0.005448758,1166
0.005452927,1167
0.005455431,1168
0.005460026,1169
0.0054617,1170
0.005465892,1171
0.005469671,1172
0.005471772,1173
0.005473454,1174
0.00547724,1175
0.005481452,1176
0.005484404,1177
0.00548736,1178
0.00549159,1179
0.005495399,1180
0.005499634,1181
0.005503448,1182
0.005505569,1183
0.005509387,1184
0.00551066,1185
0.005512359,1186
0.005516183,1187
0.005518309,1188
0.005520861,1189
0.005523842,1190
0.005526828,1191
0.005528109,1192
0.005534954,1193
0.005537525,1194
0.005541813,1195
0.005544817,1196
0.005547393,1197
0.005549972,1198
0.005552985,1199
0.005556433,1200
0.005560748,1201
0.005564632,1202
0.005567223,1203
0.005570682,1204
0.005575446,1205
0.005578047,1206
0.005581521,1207
0.00558326,1208
0.005586738,1209
0.005589349,1210
0.005591092,1211
0.005593708,1212
0.005596326,1213
0.005598947,1214
0.005605069,1215
0.005608569,1216
0.005613823,1217
0.005615138,1218
0.005616454,1219
0.005620407,1220
0.005623487,1221
0.005627452,1222
0.005631859,1223
0.005634947,1224
0.005637596,1225
0.005640249,1226
0.005645118,1227
0.005648221,1228
0.005652217,1229
0.005655326,1230
0.005659325,1231
0.005661995,1232
0.005664222,1233
0.005667345,1234
0.005668684,1235
0.00567047,1236
0.005672257,1237
0.005674491,1238
0.005678518,1239
0.005679414,1240
0.005681207,1241
0.005683453,1242
0.005687501,1243
0.005692002,1244
0.005695607,1245
0.005699215,1246
0.005705088,1247
0.005708254,1248
0.005710065,1249
0.005715053,1250
0.005717777,1251
0.00572323,1252
0.005725961,1253
0.005730517,1254
0.005732797,1255
0.005735537,1256
0.005740108,1257
0.005744681,1258
0.005746969,1259
0.005750634,1260
0.005754304,1261
0.0057566,1262
0.005757521,1263
0.005759364,1264
0.005762129,1265
0.005764435,1266
0.005767205,1267
0.00577044,1268
0.005772752,1269
0.005776921,1270
0.005777849,1271
0.005780169,1272
0.00578249,1273
0.005785279,1274
0.005789932,1275
0.005792729,1276
0.005794596,1277
0.00579927,1278
0.005801608,1279
0.005805351,1280
0.005808631,1281
0.005812384,1282
0.005816611,1283
0.005819904,1284
0.005822731,1285
0.005826974,1286
0.005828861,1287
0.005832168,1288
0.005836425,1289
0.005836899,1290
0.005839743,1291
0.005842116,1292
0.005844965,1293
0.005847814,1294
0.005853521,1295
0.005855902,1296
0.005859717,1297
0.005862105,1298
0.005865931,1299
0.005868804,1300
0.005870241,1301
0.00587264,1302
0.005874561,1303
0.005876965,1304
0.005878888,1305
0.005881777,1306
0.005886111,1307
0.005889968,1308
0.005890451,1309
0.005892867,1310
0.005898673,1311
0.005900126,1312
0.005901581,1313
0.005905463,1314
0.005908376,1315
0.005911779,1316
0.005917135,1317
0.005919573,1318
0.005921526,1319
0.005924948,1320
0.005929349,1321
0.005932285,1322
0.005935223,1323
0.005938165,1324
0.00594062,1325
0.005944063,1326
0.005946032,1327
0.005949972,1328
0.005953422,1329
0.005955396,1330
0.005961326,1331
0.005963801,1332
0.005966278,1333
0.00596876,1334
0.005972234,1335
0.00597571,1336
0.00597869,1337
0.005980678,1338
0.005983163,1339
0.005986148,1340
0.005989135,1341
0.005991626,1342
0.00599362,1343
0.005995616,1344
0.006000112,1345
0.006003615,1346
0.00600562,1347
0.006008129,1348
0.006010136,1349
0.006012648,1350
0.006016168,1351
0.006018686,1352
0.006021207,1353
0.006024237,1354
0.006027776,1355
0.006031824,1356
0.006034861,1357
0.006036889,1358
0.006038919,1359
