time,net
614,0.003390667
615,0.003394132
616,0.00340107
617,0.003405702
618,0.003407247
619,0.003411111
620,0.003415752
621,0.003419234
622,0.003422721
623,0.003426986
624,0.003434365
625,0.003439031
626,0.003442533
627,0.003447986
628,0.003452666
629,0.003458523
630,0.003462823
631,0.003468691
632,0.003472216
633,0.003478095
634,0.003484376
635,0.003487519
636,0.003491452
637,0.003495781
638,0.003501294
639,0.003504054
640,0.003508393
641,0.003512737
642,0.003516688
643,0.003522622
644,0.003525791
645,0.003529358
646,0.00353134
647,0.003535307
648,0.003537293
649,0.00354206
650,0.003547228
651,0.003553596
652,0.003556386
653,0.003558778
654,0.003561969
655,0.003565562
656,0.003569558
657,0.003572755
658,0.003577155
659,0.003580357
660,0.003583961
661,0.003588768
662,0.003593179
663,0.003595186
664,0.003597594
665,0.003602415
666,0.003607239
667,0.003611263
668,0.003613276
669,0.003616901
670,0.003621338
671,0.003626586
672,0.003632647
673,0.003635882
674,0.003642762
675,0.003646408
676,0.003651678
677,0.003656953
678,0.003659795
679,0.003664265
680,0.003667926
681,0.003672404
682,0.003677699
683,0.003682998
684,0.003689934
685,0.003693201
686,0.003696062
687,0.00370015
688,0.003703423
689,0.003707519
690,0.003713259
691,0.003716541
692,0.003719827
693,0.003723115
694,0.003725582
695,0.003730109
696,0.003735054
697,0.003738354
698,0.003742483
699,0.003746615
700,0.003751579
701,0.003755304
702,0.003760274
703,0.003765249
704,0.003768152
705,0.003772303
706,0.00377521
707,0.003780197
708,0.003782692
709,0.003785188
710,0.003787686
711,0.003791435
712,0.003796856
713,0.003801448
714,0.003806044
715,0.003811061
716,0.003814409
717,0.003817759
718,0.003819015
719,0.003822368
720,0.00382698
721,0.003830339
722,0.003835382
723,0.003837486
724,0.003843379
725,0.003846328
726,0.00384928
727,0.003850546
728,0.003855612
729,0.003857723
730,0.003864485
731,0.003867022
732,0.003869983
733,0.003873794
734,0.003877184
735,0.003879304
736,0.003883121
737,0.003886091
738,0.003891612
739,0.003896712
740,0.00390054
741,0.00390352
742,0.003906074
743,0.003910337
744,0.003914176
745,0.003917164
746,0.003919299
747,0.003923145
748,0.003925283
749,0.003926566
750,0.003930843
751,0.003932984
752,0.00393641
753,0.003939838
754,0.003943269
755,0.003945845
756,0.003947133
757,0.003950568
758,0.003954866
759,0.003959166
760,0.00396476
761,0.003965622
762,0.003969068
763,0.003971224
764,0.003972949
765,0.003974244
766,0.003978993
767,0.003982882
768,0.003985477
769,0.003988507
770,0.003993273
771,0.003998478
772,0.00399978
773,0.004003255
774,0.004007167
775,0.004010647
776,0.004015437
777,0.004020232
778,0.004023284
779,0.004026776
780,0.004031144
781,0.004033329
782,0.004036828
783,0.004041641
784,0.004043392
785,0.004044268
786,0.004046896
787,0.004048211
788,0.004051718
789,0.004055665
790,0.004058737
791,0.004062249
792,0.004065764
793,0.004068402
794,0.004070602
795,0.004074564
796,0.004079851
797,0.004081614
798,0.004085584
799,0.004086908
800,0.004091325
801,0.004094418
802,0.004097513
803,0.004101936
804,0.004104591
805,0.004107691
806,0.004111234
807,0.00411611
808,0.004118328
809,0.004123212
810,0.004126323
811,0.004130324
812,0.004133439
813,0.004137891
814,0.004140119
815,0.004142793
816,0.00414413
817,0.004148144
818,0.004151715
819,0.004157075
820,0.00415931
821,0.004164678
822,0.004170948
823,0.004172293
824,0.004177224
825,0.004182609
826,0.0041862
827,0.004188895
828,0.004193388
829,0.004195187
830,0.004197885
831,0.004200584
832,0.004203284
833,0.004203284
834,0.004207787
835,0.004209588
836,0.00421094
837,0.004215449
838,0.004218157
839,0.004219962
840,0.004223576
841,0.004227644
842,0.004231262
843,0.004235336
844,0.00423896
845,0.004239413
846,0.004243495
847,0.004246218
848,0.004250759
849,0.00425485
850,0.004257579
851,0.004261676
852,0.004263954
853,0.004268969
854,0.00427125
855,0.004277188
856,0.004282214
857,0.004285871
858,0.004290446
859,0.004295023
860,0.004298688
861,0.004300522
862,0.004305109
863,0.004308321
864,0.004312914
865,0.00431797
866,0.00432027
867,0.004325331
868,0.004329936
869,0.004334082
870,0.004337307
871,0.004340995
872,0.004344224
873,0.004347453
874,0.004351146
875,0.004353918
876,0.004360392
877,0.004364558
878,0.00436641
879,0.004366873
880,0.004370581
881,0.00437522
882,0.004379397
883,0.004381255
884,0.004383114
885,0.004385904
886,0.004391488
887,0.004396146
888,0.004398009
889,0.004400806
890,0.004404071
891,0.004408737
892,0.004411072
893,0.004412941
894,0.004416213
895,0.004418551
896,0.004421359
897,0.004424168
898,0.004425573
899,0.004431665
900,0.00443354
901,0.004436824
902,0.004441988
903,0.004444338
904,0.004446689
905,0.004449041
906,0.004454219
907,0.004457988
908,0.004460345
909,0.004464118
910,0.004468839
911,0.004471201
912,0.00447593
913,0.004479241
914,0.004482555
915,0.004483975
916,0.004488712
917,0.004493452
918,0.004497721
919,0.004500093
920,0.004507688
921,0.004510063
922,0.004514817
923,0.004518147
924,0.004522908
925,0.004527673
926,0.00452958
927,0.004531487
928,0.004533394
929,0.004535303
930,0.004536257
931,0.00453912
932,0.004541986
933,0.004546286
934,0.004549153
935,0.004550588
936,0.004552501
937,0.004556808
938,0.004559682
