time,cif
360,0.002569487
361,0.002576307
362,0.002581356
363,0.002588788
364,0.002594742
365,0.002600404
366,0.002606669
367,0.002611451
368,0.002617436
369,0.002623127
370,0.002629425
371,0.002636334
372,0.002640244
373,0.002647166
374,0.002652291
375,0.002658627
376,0.002665875
377,0.002672225
378,0.002680703
379,0.002685251
380,0.002691927
381,0.002698006
382,0.002705613
383,0.002715667
384,0.002721771
385,0.00272666
386,0.002733083
387,0.002740128
388,0.002745647
389,0.002753012
390,0.002756086
391,0.002765007
392,0.002773018
393,0.002781355
394,0.002788158
395,0.00279404
396,0.002798999
397,0.002803962
398,0.002809861
399,0.002817322
400,0.002823236
401,0.002829778
402,0.002835392
403,0.002843508
404,0.002849137
405,0.002855085
406,0.002860413
407,0.002864178
408,0.002869516
409,0.002875799
410,0.002879887
411,0.002886497
412,0.002891224
413,0.002894693
414,0.002900056
415,0.002906056
416,0.002912064
417,0.002918394
418,0.00292188
419,0.002925684
420,0.002933295
421,0.002939963
422,0.002944733
423,0.002953006
424,0.002959379
425,0.002966076
426,0.002972143
427,0.002977898
428,0.0029843
429,0.002991672
430,0.002996485
431,0.003002266
432,0.003009019
433,0.003012882
434,0.003019002
435,0.003023518
436,0.003029975
437,0.003032884
438,0.003041292
439,0.003047772
440,0.003051988
441,0.003056857
442,0.003062706
443,0.003066608
444,0.003073765
445,0.003077348
446,0.003083213
447,0.003089084
448,0.003093653
449,0.003098881
450,0.003108363
451,0.003112948
452,0.003118845
453,0.003126391
454,0.003131646
455,0.003135592
456,0.003141843
457,0.003144149
458,0.003147445
459,0.003155359
460,0.003163284
461,0.003169237
462,0.003174536
463,0.00318017
464,0.003185478
465,0.003191455
466,0.003196773
467,0.003201764
468,0.003206093
469,0.003213757
470,0.003220763
471,0.003225106
472,0.003227781
473,0.003231795
474,0.00323849
475,0.00324452
476,0.003249885
477,0.00325324
478,0.003256598
479,0.003261638
480,0.00326332
481,0.003267021
482,0.00327342
483,0.003278138
484,0.003283873
485,0.003291639
486,0.003297389
487,0.003299082
488,0.003303823
489,0.003307891
490,0.003312978
491,0.003319768
492,0.003324865
493,0.003331669
494,0.003336777
495,0.003341207
496,0.003347688
497,0.003352126
498,0.00335691
499,0.00336204
500,0.003370255
501,0.003374368
502,0.003382257
503,0.003388096
504,0.003394284
505,0.003397725
506,0.003401168
507,0.003404613
508,0.003410129
509,0.003415994
510,0.003419448
511,0.003426013
512,0.003432586
513,0.003435703
514,0.003441247
515,0.003446102
516,0.003448878
517,0.003454085
518,0.00345999
519,0.003465205
520,0.003467641
521,0.00347147
522,0.003475997
523,0.003478786
524,0.003482273
525,0.003487158
526,0.003492746
527,0.00349589
528,0.003500434
529,0.003506381
530,0.003513032
531,0.00351864
532,0.003524954
533,0.00352987
534,0.003534438
535,0.003540064
536,0.003546752
537,0.003549923
538,0.003554508
539,0.003559096
540,0.003564398
541,0.003567934
542,0.00357395
543,0.003579973
544,0.003583165
545,0.003587423
546,0.003593104
547,0.003599144
548,0.003604833
549,0.003608749
550,0.003614804
551,0.003618727
552,0.003623007
553,0.003628362
554,0.003632649
555,0.003636224
556,0.003639444
557,0.003645886
558,0.003651976
559,0.003657714
560,0.003661304
561,0.003665256
562,0.003669929
563,0.003676045
564,0.003678926
565,0.003685775
566,0.003690105
567,0.003696245
568,0.003701305
569,0.003705284
570,0.003708904
571,0.003713973
572,0.003717596
573,0.003725209
574,0.003729928
575,0.003733198
576,0.003738289
577,0.003743383
578,0.003749212
579,0.003753589
580,0.00375943
581,0.003764545
582,0.003769665
583,0.003773324
584,0.003777718
585,0.003782117
586,0.003786518
587,0.003790921
588,0.003795696
589,0.003799004
590,0.003803418
591,0.003806362
592,0.00381299
593,0.003817414
594,0.003821104
595,0.003824427
596,0.003829229
597,0.003834774
598,0.003839952
599,0.003844762
600,0.003847354
601,0.003851799
602,0.003856617
603,0.003860697
604,0.003865894
605,0.003869981
606,0.00387407
607,0.003878904
608,0.003882626
609,0.003888957
610,0.003892685
611,0.003895667
612,0.003899397
613,0.00390201
614,0.003906116
615,0.003909477
616,0.003916202
617,0.003921439
618,0.003922936
619,0.003927056
620,0.003931926
621,0.003935301
622,0.003938677
623,0.003943183
624,0.003950322
625,0.003954838
626,0.003958226
627,0.0039635
628,0.003968401
629,0.003974817
630,0.003978972
631,0.003984643
632,0.003988047
633,0.003993726
634,0.004000167
635,0.004003201
636,0.004007755
637,0.004011934
638,0.004017635
639,0.004020297
640,0.004024483
641,0.004028671
642,0.004032481
643,0.004038199
644,0.004041635
645,0.004045454
646,0.004047364
647,0.00405195
648,0.004053862
649,0.004058453
650,0.004064194
651,0.004071088
652,0.004074156
653,0.004076458
654,0.004079529
655,0.00408337
656,0.004087213
657,0.004090673
658,0.004095289
659,0.004098369
660,0.004102605
661,0.004107614
662,0.004112239
663,0.004114169
664,0.004116485
665,0.004121504
666,0.004126913
667,0.004131167
668,0.004133101
669,0.00413697
670,0.00414123
671,0.004146269
672,0.004152086
673,0.004155191
674,0.00416218
675,0.004166066
676,0.00417151
677,0.004176569
678,0.004179296
679,0.004183581
680,0.004187091
681,0.004192162
682,0.004197627
683,0.004203095
684,0.004209739
685,0.004212868
686,0.004215608
687,0.004219913
688,0.004223439
689,0.004227359
690,0.00423285
691,0.00423599
692,0.004239525
693,0.004242669
694,0.004245028
695,0.004249354
696,0.004255259
697,0.004259199
698,0.00426393
699,0.004267876
700,0.004272615
701,0.004276171
702,0.004280915
703,0.004285661
704,0.004288432
705,0.004292787
706,0.00429556
707,0.004300315
708,0.004303091
709,0.004305471
710,0.004308248
711,0.004313012
712,0.004318576
713,0.004323349
714,0.004327727
715,0.004333303
716,0.004336491
717,0.00433968
718,0.004340877
719,0.004344466
720,0.004348855
721,0.00435205
722,0.004356844
723,0.004358844
724,0.004364443
725,0.004367245
726,0.004370049
727,0.004371252
728,0.004376062
729,0.004378068
730,0.004384486
731,0.004387297
732,0.004390107
733,0.004394124
734,0.004397742
735,0.004399753
736,0.004403373
737,0.00440619
738,0.004411826
739,0.004417064
740,0.004421498
741,0.004424725
742,0.00442755
743,0.00443199
744,0.004435625
745,0.004438455
746,0.004441285
747,0.004444925
748,0.004446948
749,0.004448567
750,0.004452614
751,0.004454639
752,0.004457879
753,0.004461121
754,0.004464769
755,0.004467204
756,0.004468422
757,0.004471669
758,0.004475729
759,0.004479791
760,0.004485074
761,0.004486295
762,0.004489956
763,0.004492398
764,0.004494028
765,0.00449525
766,0.004499732
767,0.004503402
768,0.004506257
769,0.004509524
770,0.004514018
771,0.004518924
772,0.004520561
773,0.004523836
774,0.004527522
775,0.004531211
776,0.004535722
777,0.004540236
778,0.00454311
779,0.004546807
780,0.004550918
781,0.004552974
782,0.004557089
783,0.004561617
784,0.004563264
785,0.004564088
786,0.004566559
787,0.004567796
788,0.004571093
789,0.004574804
790,0.004578516
791,0.00458223
792,0.004585533
793,0.004588011
794,0.004590077
795,0.004593797
796,0.004598759
797,0.004600414
798,0.004604554
799,0.00460621
800,0.004610353
801,0.00461367
802,0.004617402
803,0.004621966
804,0.004624871
805,0.004627778
806,0.004631515
807,0.004636501
808,0.00463858
809,0.004643156
810,0.004646071
811,0.004650236
812,0.00465357
813,0.004658155
814,0.004661075
815,0.004663578
816,0.004665247
817,0.004669003
818,0.004673179
819,0.004678194
820,0.004680702
821,0.004685721
822,0.004691583
823,0.00469284
824,0.004697868
825,0.004703319
826,0.004707094
827,0.004710031
828,0.004714649
829,0.004717169
830,0.00471969
831,0.004722211
832,0.004724732
834,0.004729357
835,0.004731039
836,0.004732302
837,0.004736931
838,0.004739458
839,0.004741142
840,0.004744513
841,0.004748729
842,0.004752103
843,0.004756323
844,0.004759699
845,0.004760122
846,0.004764345
847,0.004766881
848,0.00477111
849,0.004775341
850,0.004777882
851,0.004781694
852,0.004783813
853,0.004788477
854,0.004790598
855,0.004796118
